"females"	"males"	"total"
"Midnorth_1"	12	0	12
"Midnorth_2"	2	0	2
"Midnorth_3"	3	0	3
"Midnorth_4"	1	0	1
"Midnorth_5"	4	0	4
"Midnorth_6"	7	0	7
"Midnorth_7"	7	1	8
"Midnorth_8"	4	0	4
"Midnorth_9"	4	0	4
"Midnorth_10"	0	0	0
"Midnorth_11"	8	0	8
"Midnorth_12"	1	0	1
"Midnorth_13"	1	0	1
"Midnorth_14"	1	0	1
"Midnorth_15"	2	0	2
"Midnorth_16"	8	0	8
"Midnorth_17"	4	0	4
"Midnorth_18"	2	0	2
"Midnorth_19"	10	2	12
"Midnorth_20"	1	0	1
"Midnorth_21"	3	0	3
"Midnorth_22"	4	0	4
"Midnorth_23"	3	0	3
"Midnorth_24"	4	0	4
"Midnorth_25"	6	1	7
