"females"	"males"	"total"
"Midnorth_1"	23	1	24
"Midnorth_2"	16	0	16
"Midnorth_3"	48	0	48
"Midnorth_4"	11	0	11
"Midnorth_5"	27	0	27
"Midnorth_6"	46	0	46
"Midnorth_7"	15	1	16
"Midnorth_8"	26	0	26
"Midnorth_9"	7	0	7
"Midnorth_10"	13	0	13
"Midnorth_11"	38	0	38
"Midnorth_12"	29	0	29
"Midnorth_13"	21	0	21
"Midnorth_14"	28	0	28
"Midnorth_15"	32	0	32
"Midnorth_16"	31	0	31
"Midnorth_17"	9	0	9
"Midnorth_18"	0	0	0
"Midnorth_19"	7	2	9
"Midnorth_20"	20	0	20
"Midnorth_21"	12	0	12
"Midnorth_22"	4	0	4
"Midnorth_23"	1	0	1
"Midnorth_24"	20	1	21
"Midnorth_25"	43	0	43
