"x" "y"
"Midnorth_1" -2154375 2740455
"Midnorth_2" -2155005 2740425
"Midnorth_3" -2154615 2739615
"Midnorth_4" -2155215 2739975
"Midnorth_5" -2155935 2739885
"Midnorth_6" -2155965 2740335
"Midnorth_7" -2155185 2740995
"Midnorth_8" -2155425 2741175
"Midnorth_9" -2156085 2740965
"Midnorth_10" -2155095 2739345
"Midnorth_11" -2152425 2740245
"Midnorth_12" -2153055 2739405
"Midnorth_13" -2154495 2739375
"Midnorth_14" -2153505 2739195
"Midnorth_15" -2155755 2739345
"Midnorth_16" -2153895 2739465
"Midnorth_17" -2155665 2738835
"Midnorth_18" -2153475 2739495
"Midnorth_19" -2154795 2740815
"Midnorth_20" -2156265 2739315
"Midnorth_21" -2154075 2740095
"Midnorth_22" -2156235 2740665
"Midnorth_23" -2153925 2739705
"Midnorth_24" -2153565 2740095
"Midnorth_25" -2153055 2740005
