"x" "y"
"North_1" -2145390 2754360
"North_2" -2145870 2753160
"North_3" -2144190 2752260
"North_4" -2144610 2754180
"North_5" -2145990 2751000
"North_6" -2145690 2750460
"North_7" -2142690 2753340
"North_8" -2142570 2753040
"North_9" -2141550 2753100
"North_10" -2142030 2752200
"North_11" -2145030 2753460
"North_12" -2146590 2752920
"North_13" -2147670 2753520
"North_14" -2145450 2751060
"North_15" -2146170 2752860
"North_16" -2142450 2752500
"North_17" -2145630 2753940
"North_18" -2144010 2751720
"North_19" -2143530 2753460
"North_20" -2143110 2754060
"North_21" -2144430 2751540
"North_22" -2147730 2754120
"North_23" -2144970 2753100
"North_24" -2146710 2753880
"North_25" -2144790 2753760
