Site_Name,Long,Lat,Elev_m,Landscape,Trap_num
North 1,-123.613019,44.95261,958.213,North,1
North 2,-123.614836,44.941104,802.005,North,2
North 3,-123.590912,44.937981,1035.884,North,3
North 4,-123.603266,44.953181,807,North,4
North 5,-123.608048,44.922077,851.194,North,5
North 6,-123.602532,44.918467,957.025,North,6
North 7,-123.57651,44.950788,639.855,North,7
North 8,-123.574149,44.94863,662.767,North,8
North 9,-123.561837,44.951745,607.345,North,9
North 10,-123.564304,44.942703,632.13,North,10
North 11,-123.605806,44.946037,798.867,North,11
North 12,-123.622915,44.937368,811.74,North,12
North 13,-123.637821,44.93949,591.693,North,13
North 14,-123.60195,44.92414,856.419,North,14
North 15,-123.617312,44.937635,850.907,North,15
North 16,-123.57112,44.944435,602.82,North,16
North 17,-123.614475,44.948575,934.691,North,17
North 18,-123.58689,44.933599,985.484,North,18
North 19,-123.587552,44.949994,748.387,North,19
North 20,-123.584215,44.956176,485.246,North,20
North 21,-123.591033,44.930752,991.95,North,21
North 22,-123.641167,44.944731,842.674,North,22
North 23,-123.603669,44.942668,843.3,North,23
North 24,-123.627229,44.945399,828.674,North,24
North 25,-123.60416,44.949307,842.722,North,25
