Stand,Year,Round,Age,AvgCanopy
1,2018,1,22,99.97216656
2,2018,1,7,11.59003226
3,2018,1,3,2.54989145
4,2018,1,7,48.41416494
5,2018,1,10,83.24704965
6,2018,1,4,0
7,2018,1,9,18.11996085
8,2018,1,10,49.71537277
9,2018,1,18,100
10,2018,1,12,84.44379988
11,2018,1,11,93.73019543
12,2018,1,4,0.728957916
13,2018,1,3,0
14,2018,1,10,61.14254653
15,2018,1,35,98.79152244
16,2018,1,14,94.78806097
17,2018,1,16,97.68077822
18,2018,1,12,99.49343131
19,2018,1,8,70.82591108
20,2018,1,4,2.502226676
21,2018,1,11,82.61031442
22,2018,1,5,0.177217179
23,2018,1,2,0
24,2018,1,11,42.22676121
25,2018,1,6,33.06446226
26,2018,1,10,61.98068732
27,2018,1,8,33.38343353
28,2018,1,14,99.53496737
29,2018,1,13,98.65100572
30,2018,1,5,2.073194007
31,2018,1,9,57.66520563
32,2018,1,14,99.23179693
33,2018,1,3,0
34,2018,1,8,30.41339088
35,2018,1,2,0
36,2018,1,6,4.082896977
37,2018,1,17,99.59641505
38,2018,1,8,0.978427443
39,2018,1,5,22.04223635
40,2018,1,1,0
41,2018,1,2,0.059378015
42,2018,1,3,0
43,2018,1,9,81.90857906
44,2018,1,20,99.59149067
45,2018,1,11,87.34501661
46,2018,1,8,19.08530646
47,2018,1,9,86.8750835
48,2018,1,4,1.002906714
49,2018,1,17,100
50,2018,1,32,100
51,2018,1,14,84.20292967
52,2018,1,33,100
53,2018,1,18,99.31251392
54,2018,1,34,99.63259853
55,2018,1,13,88.03434029
56,2018,1,32,99.18701038
57,2018,1,2,0.128652366
58,2018,1,20,99.62464612
59,2018,1,32,98.97127589
60,2018,1,32,99.57832331
61,2018,2,22,99.97216656
62,2018,2,7,11.59003226
63,2018,2,3,2.54989145
64,2018,2,7,48.41416494
65,2018,2,10,83.24704965
66,2018,2,4,0
67,2018,2,9,18.11996085
68,2018,2,10,49.71537277
69,2018,2,18,100
70,2018,2,12,84.44379988
71,2018,2,11,93.73019543
72,2018,2,4,0.728957916
73,2018,2,3,0
74,2018,2,10,61.14254653
75,2018,2,35,98.79152244
76,2018,2,14,94.78806097
77,2018,2,16,97.68077822
78,2018,2,12,99.49343131
79,2018,2,8,70.82591108
80,2018,2,4,2.502226676
81,2018,2,11,82.61031442
82,2018,2,5,0.177217179
83,2018,2,2,0
84,2018,2,11,42.22676121
85,2018,2,6,33.06446226
86,2018,2,10,61.98068732
87,2018,2,8,33.38343353
88,2018,2,14,99.53496737
89,2018,2,13,98.65100572
90,2018,2,5,2.073194007
91,2018,2,9,57.66520563
92,2018,2,14,99.23179693
93,2018,2,3,0
94,2018,2,8,30.41339088
95,2018,2,2,0
96,2018,2,6,4.082896977
97,2018,2,17,99.59641505
98,2018,2,8,0.978427443
99,2018,2,5,22.04223635
100,2018,2,1,0
101,2018,2,2,0.059378015
102,2018,2,3,0
103,2018,2,9,81.90857906
104,2018,2,20,99.59149067
105,2018,2,11,87.34501661
106,2018,2,8,19.08530646
107,2018,2,9,86.8750835
108,2018,2,4,1.002906714
109,2018,2,17,100
110,2018,2,32,100
111,2018,2,14,84.20292967
112,2018,2,33,100
113,2018,2,18,99.31251392
114,2018,2,34,99.63259853
115,2018,2,13,88.03434029
116,2018,2,32,99.18701038
117,2018,2,2,0.128652366
118,2018,2,20,99.62464612
119,2018,2,32,98.97127589
120,2018,2,32,99.57832331
121,2018,3,22,99.97216656
122,2018,3,7,11.59003226
123,2018,3,3,2.54989145
124,2018,3,7,48.41416494
125,2018,3,10,83.24704965
126,2018,3,4,0
127,2018,3,9,18.11996085
128,2018,3,10,49.71537277
129,2018,3,18,100
130,2018,3,12,84.44379988
131,2018,3,11,93.73019543
132,2018,3,4,0.728957916
133,2018,3,3,0
134,2018,3,10,61.14254653
135,2018,3,35,98.79152244
136,2018,3,14,94.78806097
137,2018,3,16,97.68077822
138,2018,3,12,99.49343131
139,2018,3,8,70.82591108
140,2018,3,4,2.502226676
141,2018,3,11,82.61031442
142,2018,3,5,0.177217179
143,2018,3,2,0
144,2018,3,11,42.22676121
145,2018,3,6,33.06446226
146,2018,3,10,61.98068732
147,2018,3,8,33.38343353
148,2018,3,14,99.53496737
149,2018,3,13,98.65100572
150,2018,3,5,2.073194007
151,2018,3,9,57.66520563
152,2018,3,14,99.23179693
153,2018,3,3,0
154,2018,3,8,30.41339088
155,2018,3,2,0
156,2018,3,6,4.082896977
157,2018,3,17,99.59641505
158,2018,3,8,0.978427443
159,2018,3,5,22.04223635
160,2018,3,1,0
161,2018,3,2,0.059378015
162,2018,3,3,0
163,2018,3,9,81.90857906
164,2018,3,20,99.59149067
165,2018,3,11,87.34501661
166,2018,3,8,19.08530646
167,2018,3,9,86.8750835
168,2018,3,4,1.002906714
169,2018,3,17,100
170,2018,3,32,100
171,2018,3,14,84.20292967
172,2018,3,33,100
173,2018,3,18,99.31251392
174,2018,3,34,99.63259853
175,2018,3,13,88.03434029
176,2018,3,32,99.18701038
177,2018,3,2,0.128652366
178,2018,3,20,99.62464612
179,2018,3,32,98.97127589
180,2018,3,32,99.57832331
181,2019,1,23,97.99970311
182,2019,1,8,49.16984507
183,2019,1,4,0.253284346
184,2019,1,8,62.03878345
185,2019,1,11,71.63400876
186,2019,1,5,0
187,2019,1,10,30.55760644
188,2019,1,11,65.04676019
189,2019,1,19,98.02568099
190,2019,1,13,87.6625045
191,2019,1,12,93.29373032
