"x" "y"
"South_1" -2170290 2724360
"South_2" -2168430 2727000
"South_3" -2170410 2724960
"South_4" -2171070 2725080
"South_5" -2170710 2725320
"South_6" -2171970 2724540
"South_7" -2171010 2725800
"South_8" -2170410 2724000
"South_9" -2169630 2725680
"South_10" -2168850 2726100
"South_11" -2173050 2724660
"South_12" -2172570 2724600
"South_13" -2171010 2724660
"South_14" -2169090 2725800
"South_15" -2171430 2725320
"South_16" -2167410 2727120
"South_17" -2169990 2723700
"South_18" -2167590 2726340
"South_19" -2169270 2723700
"South_20" -2166750 2726700
"South_21" -2169750 2724420
"South_22" -2171190 2724240
"South_23" -2170890 2723580
"South_24" -2171070 2722500
"South_25" -2170830 2723220
