Site_Name,Long,Lat,Elev_m,Landscape,Trap_num
South 1,-123.806139,44.630081,242.305,South,1
South 2,-123.792812,44.657972,199.452,South,2
South 3,-123.809677,44.635161,236.822,South,3
South 4,-123.818293,44.634347,209.225,South,4
South 5,-123.814352,44.637819,240.889,South,5
South 6,-123.826586,44.627559,257.124,South,6
South 7,-123.819784,44.641061,198.632,South,7
South 8,-123.806027,44.627169,265.384,South,8
South 9,-123.802487,44.64338,222.939,South,9
South 10,-123.79477,44.649066,203.65,South,10
South 11,-123.840364,44.626062,244.09,South,11
South 12,-123.834157,44.626771,371.761,South,12
South 13,-123.815681,44.631246,308.17,South,13
South 14,-123.796851,44.646015,207.357,South,14
South 15,-123.823598,44.635825,159.985,South,15
South 16,-123.781497,44.661735,209.929,South,16
South 17,-123.799605,44.625564,350.021,South,17
South 18,-123.780934,44.654521,185.147,South,18
South 19,-123.790804,44.627221,254.641,South,19
South 20,-123.771334,44.659634,248.281,South,20
South 21,-123.800007,44.632399,216.154,South,21
South 22,-123.816398,44.626811,303.735,South,22
South 23,-123.810457,44.622222,170.435,South,23
South 24,-123.808828,44.612558,120.386,South,24
South 25,-123.808269,44.619122,126.221,South,25
