"Site","Species","n_F","n_M","total"
"Midnorth 1","caliginosus",12,0,12
"Midnorth 2","caliginosus",2,0,2
"Midnorth 3","caliginosus",3,0,3
"Midnorth 4","caliginosus",1,0,1
"Midnorth 5","caliginosus",4,0,4
"Midnorth 6","caliginosus",7,0,7
"Midnorth 7","caliginosus",7,1,8
"Midnorth 8","caliginosus",4,0,4
"Midnorth 9","caliginosus",4,0,4
"Midnorth 10","caliginosus",0,0,0
"Midnorth 11","caliginosus",8,0,8
"Midnorth 12","caliginosus",2,0,2
"Midnorth 13","caliginosus",1,0,1
"Midnorth 14","caliginosus",1,0,1
"Midnorth 15","caliginosus",2,0,2
"Midnorth 16","caliginosus",8,0,8
"Midnorth 17","caliginosus",4,0,4
"Midnorth 18","caliginosus",2,0,2
"Midnorth 19","caliginosus",11,2,13
"Midnorth 20","caliginosus",1,0,1
"Midnorth 21","caliginosus",3,0,3
"Midnorth 22","caliginosus",4,0,4
"Midnorth 23","caliginosus",3,0,3
"Midnorth 24","caliginosus",4,0,4
"Midnorth 25","caliginosus",5,1,6
