"","Site","Species","n_F","n_M","total"
"1","North 1","caliginosus",1,0,1
"2","North 2","caliginosus",8,0,8
"3","North 3","caliginosus",2,0,2
"4","North 4","caliginosus",1,0,1
"5","North 5","caliginosus",5,0,5
"6","North 6","caliginosus",2,0,2
"7","North 7","caliginosus",5,0,5
"8","North 8","caliginosus",4,0,4
"9","North 9","caliginosus",9,0,9
"10","North 10","caliginosus",7,0,7
"11","North 11","caliginosus",13,0,13
"12","North 12","caliginosus",2,0,2
"13","North 13","caliginosus",9,0,9
"14","North 14","caliginosus",21,0,21
"15","North 15","caliginosus",3,0,3
"16","North 16","caliginosus",0,0,0
"17","North 17","caliginosus",0,0,0
"18","North 18","caliginosus",5,0,5
"19","North 19","caliginosus",0,0,0
"20","North 20","caliginosus",11,0,11
"21","North 21","caliginosus",2,0,2
"22","North 22","caliginosus",17,0,17
"23","North 23","caliginosus",1,0,1
"24","North 24","caliginosus",1,0,1
"25","North 25","caliginosus",0,0,0
