"Site","Species","n_F","n_M","total"
"South 1","caliginosus",0,0,0
"South 2","caliginosus",1,0,1
"South 3","caliginosus",0,0,0
"South 4","caliginosus",2,0,2
"South 5","caliginosus",1,0,1
"South 6","caliginosus",0,0,0
"South 7","caliginosus",0,0,0
"South 8","caliginosus",0,0,0
"South 9","caliginosus",1,0,1
"South 10","caliginosus",2,0,2
"South 11","caliginosus",4,1,5
"South 12","caliginosus",2,0,2
"South 13","caliginosus",2,0,2
"South 14","caliginosus",4,0,4
"South 15","caliginosus",2,0,2
"South 16","caliginosus",4,0,4
"South 17","caliginosus",0,0,0
"South 18","caliginosus",5,0,5
"South 19","caliginosus",3,0,3
"South 20","caliginosus",2,0,2
"South 21","caliginosus",2,0,2
"South 22","caliginosus",5,0,5
"South 23","caliginosus",13,0,13
"South 24","caliginosus",4,0,4
"South 25","caliginosus",4,3,7
