"Site","Species","n_F","n_M","total"
"Midnorth 1","vosnesneskii",23,1,24
"Midnorth 2","vosnesneskii",16,0,16
"Midnorth 3","vosnesneskii",48,0,48
"Midnorth 4","vosnesneskii",11,0,11
"Midnorth 5","vosnesneskii",27,0,27
"Midnorth 6","vosnesneskii",46,0,46
"Midnorth 7","vosnesneskii",15,1,16
"Midnorth 8","vosnesneskii",26,0,26
"Midnorth 9","vosnesneskii",7,0,7
"Midnorth 10","vosnesneskii",11,0,11
"Midnorth 11","vosnesneskii",38,0,38
"Midnorth 12","vosnesneskii",28,0,28
"Midnorth 13","vosnesneskii",21,0,21
"Midnorth 14","vosnesneskii",28,0,28
"Midnorth 15","vosnesneskii",32,0,32
"Midnorth 16","vosnesneskii",31,0,31
"Midnorth 17","vosnesneskii",9,0,9
"Midnorth 18","vosnesneskii",0,0,0
"Midnorth 19","vosnesneskii",6,2,8
"Midnorth 20","vosnesneskii",20,0,20
"Midnorth 21","vosnesneskii",12,0,12
"Midnorth 22","vosnesneskii",4,0,4
"Midnorth 23","vosnesneskii",1,0,1
"Midnorth 24","vosnesneskii",20,1,21
"Midnorth 25","vosnesneskii",44,0,44
