"Site","Species","n_F","n_M","total"
"North 1","vosnesneskii",69,0,69
"North 2","vosnesneskii",23,0,23
"North 3","vosnesneskii",56,0,56
"North 4","vosnesneskii",3,0,3
"North 5","vosnesneskii",129,0,129
"North 6","vosnesneskii",28,0,28
"North 7","vosnesneskii",97,0,97
"North 8","vosnesneskii",41,0,41
"North 9","vosnesneskii",55,0,55
"North 10","vosnesneskii",67,0,67
"North 11","vosnesneskii",32,0,32
"North 12","vosnesneskii",32,0,32
"North 13","vosnesneskii",6,0,6
"North 14","vosnesneskii",46,0,46
"North 15","vosnesneskii",0,0,0
"North 16","vosnesneskii",3,0,3
"North 17","vosnesneskii",33,0,33
"North 18","vosnesneskii",115,0,115
"North 19","vosnesneskii",1,0,1
"North 20","vosnesneskii",2,0,2
"North 21","vosnesneskii",66,0,66
"North 22","vosnesneskii",13,0,13
"North 23","vosnesneskii",9,0,9
"North 24","vosnesneskii",0,0,0
"North 25","vosnesneskii",1,0,1
