"Site","Species","n_F","n_M","total"
"South 1","vosnesneskii",6,0,6
"South 2","vosnesneskii",1,0,1
"South 3","vosnesneskii",11,1,12
"South 4","vosnesneskii",21,0,21
"South 5","vosnesneskii",22,0,22
"South 6","vosnesneskii",0,0,0
"South 7","vosnesneskii",7,0,7
"South 8","vosnesneskii",8,0,8
"South 9","vosnesneskii",15,0,15
"South 10","vosnesneskii",5,0,5
"South 11","vosnesneskii",1,1,2
"South 12","vosnesneskii",0,0,0
"South 13","vosnesneskii",0,0,0
"South 14","vosnesneskii",2,0,2
"South 15","vosnesneskii",9,0,9
"South 16","vosnesneskii",7,0,7
"South 17","vosnesneskii",1,1,2
"South 18","vosnesneskii",13,0,13
"South 19","vosnesneskii",2,0,2
"South 20","vosnesneskii",1,1,2
"South 21","vosnesneskii",3,0,3
"South 22","vosnesneskii",20,1,21
"South 23","vosnesneskii",30,0,30
"South 24","vosnesneskii",21,0,21
"South 25","vosnesneskii",2,0,2
