"Site","Species","n_F","n_M","total"
"North 1","caliginosus",1,0,1
"North 2","caliginosus",7,0,7
"North 3","caliginosus",2,0,2
"North 4","caliginosus",1,0,1
"North 5","caliginosus",4,0,4
"North 6","caliginosus",2,0,2
"North 7","caliginosus",4,0,4
"North 8","caliginosus",3,0,3
"North 9","caliginosus",8,0,8
"North 10","caliginosus",7,0,7
"North 11","caliginosus",13,0,13
"North 12","caliginosus",2,0,2
"North 13","caliginosus",9,0,9
"North 14","caliginosus",21,0,21
"North 15","caliginosus",3,0,3
"North 16","caliginosus",0,0,0
"North 17","caliginosus",0,0,0
"North 18","caliginosus",5,0,5
"North 19","caliginosus",0,0,0
"North 20","caliginosus",11,0,11
"North 21","caliginosus",2,0,2
"North 22","caliginosus",16,0,16
"North 23","caliginosus",1,0,1
"North 24","caliginosus",1,0,1
"North 25","caliginosus",0,0,0
